,Employee_No,Gender,Religion_ID,Designation_ID,Status,Employment_Category,Year_of_Birth,ages_in_the_company,reported,Employment_Type_Contarct Basis,Employment_Type_Permanant,Net Salary,Marital_Status
211,674,1,1,48,0,2,0.7619047619047663,0.18220547271833526,0,1.0,0.0,0.07976175329412562,1
212,675,1,1,37,0,2,0.56666666666667,0.15090938882516797,0,1.0,0.0,0.04117486281386261,1
213,676,1,1,31,0,1,0.20000000000000284,0.11060134360150746,0,1.0,0.0,0.008302076024101235,0
214,677,1,1,55,0,1,0.5,0.07463542520072096,0,1.0,0.0,0.04195433662065695,1
215,678,1,1,31,0,1,0.7833333333333385,0.059560871702441426,0,1.0,0.0,0.014079105463548075,0
216,680,1,1,31,0,1,0.4166666666666714,0.05980665246600033,0,1.0,0.0,0.013914382869054406,1
217,682,1,1,31,0,1,0.15000000000000568,0.014419138128789121,0,1.0,0.0,0.02300380617274589,1
218,683,1,1,55,0,1,0.75,0.05980665246600033,0,1.0,0.0,0.04331177343458833,1
219,684,1,1,22,0,2,0.5333333333333385,0.6751597574963133,0,0.0,1.0,0.2330388640987561,1
220,685,1,1,31,0,1,0.4333333333333371,0.05710306406685237,0,1.0,0.0,0.02696898250879626,1
221,686,1,1,31,0,1,0.13333333333333286,0.11715549729641161,0,1.0,0.0,0.01502077280993801,1
222,689,1,1,99,0,2,0.21666666666666856,0.10543994756677044,0,1.0,0.0,0.22091115592145721,1
223,690,1,1,7,0,2,0.46666666666666856,0.07881369818122236,0,1.0,0.0,0.06995968288047023,1
224,691,1,1,22,0,2,0.75,0.11436998197607734,0,1.0,0.0,0.142285971828032,0
225,692,1,1,6,0,2,0.6833333333333371,0.11912174340488285,0,1.0,0.0,0.2810670457678603,1
226,693,1,1,99,0,2,0.15000000000000568,0.11412420121251844,0,1.0,0.0,0.22091115592145721,1
227,695,1,1,31,0,1,0.31666666666667,0.054317548746518104,0,1.0,0.0,0.01003357198696255,1
228,697,1,1,31,0,1,0.5833333333333357,0.06988366377191545,0,1.0,0.0,0.03040954696655481,1
229,698,1,1,122,1,1,0.20000000000000284,0.07733901359986892,0,1.0,0.0,0.1265156372502215,1
230,699,1,1,22,1,2,0.6666666666666714,0.18032115353105033,1,1.0,0.0,0.24704788611081727,1
231,700,1,1,122,1,1,0.75,0.09978699000491562,0,1.0,0.0,0.10584452633582526,0
