,Gender,Religion_ID,Designation_ID,Status,Employment_Category,Year_of_Birth,ages_in_the_company,reported,Marital_Status_Married,Marital_Status_Single,Employment_Type_Contarct Basis,Employment_Type_Permanant
62,1,3,27,1,2,1981.0,6.049315068493151,0,1.0,0.0,1.0,0.0
63,1,1,8,0,2,1991.0,5.010958904109589,0,1.0,0.0,1.0,0.0
64,1,1,59,1,2,1991.0,5.961643835616439,0,0.0,1.0,1.0,0.0
65,1,1,113,1,2,1981.0,5.978082191780822,0,0.0,1.0,1.0,0.0
66,0,1,59,0,2,1989.0,4.556164383561644,0,0.0,1.0,1.0,0.0
67,1,1,6,0,2,1966.0,5.876712328767123,0,1.0,0.0,1.0,0.0
68,1,1,31,0,1,1955.0,2.4136986301369863,0,1.0,0.0,1.0,0.0
69,1,1,31,0,1,1966.0,1.9424657534246574,0,1.0,0.0,1.0,0.0
70,1,1,31,0,1,1976.0,0.34794520547945207,0,1.0,0.0,1.0,0.0
71,1,1,22,0,3,1985.0,5.841095890410959,0,0.0,1.0,1.0,0.0
72,1,1,7,1,2,1961.0,5.780821917808219,0,1.0,0.0,1.0,0.0
73,1,3,49,0,2,1992.142857142857,4.904109589041096,1,0.0,1.0,1.0,0.0
74,1,1,30,0,1,1973.7142857142858,4.002739726027397,0,1.0,0.0,1.0,0.0
75,1,1,31,0,1,1967.0,2.5863013698630137,0,1.0,0.0,1.0,0.0
76,1,1,30,0,1,1955.0,2.8383561643835615,0,1.0,0.0,1.0,0.0
77,1,1,1,0,1,1977.142857142857,4.002739726027397,0,1.0,0.0,1.0,0.0
78,1,1,31,0,1,1976.0,3.4136986301369863,0,1.0,0.0,1.0,0.0
79,1,3,31,1,1,1975.857142857143,4.002739726027397,0,1.0,0.0,1.0,0.0
80,1,1,1,0,1,1992.0,0.9123287671232877,0,0.0,1.0,1.0,0.0
81,1,1,31,0,1,1959.0,1.9095890410958904,0,1.0,0.0,1.0,0.0
82,1,5,22,0,2,1985.0,4.654794520547945,0,1.0,0.0,1.0,0.0
83,0,1,70,0,2,1992.0,5.635616438356164,0,1.0,0.0,1.0,0.0
84,1,3,69,0,2,1989.0,5.493150684931507,0,0.0,0.0,1.0,0.0
85,0,1,59,1,2,1984.0,5.578082191780822,0,0.0,1.0,1.0,0.0
86,1,1,22,0,2,1986.0,3.9287671232876713,1,1.0,0.0,1.0,0.0
87,1,1,1,0,1,1983.0,1.252054794520548,0,1.0,0.0,1.0,0.0
88,1,1,124,1,1,1992.0,4.002739726027397,0,1.0,0.0,1.0,0.0
89,1,3,31,0,1,1995.0,4.002739726027397,0,0.0,1.0,1.0,0.0
90,1,1,29,1,1,1957.0,4.002739726027397,0,1.0,0.0,1.0,0.0
91,1,1,22,1,2,1988.0,5.506849315068493,1,1.0,0.0,1.0,0.0
92,1,1,31,0,1,1958.0,0.8986301369863013,0,1.0,0.0,1.0,0.0
93,1,3,31,0,1,1991.0,2.1671232876712327,0,1.0,0.0,1.0,0.0
94,1,1,37,0,2,1959.0,3.841095890410959,0,1.0,0.0,1.0,0.0
95,1,1,24,0,2,1986.7142857142858,5.315068493150685,0,0.0,0.0,1.0,0.0
96,0,3,8,0,2,1993.0,5.298630136986302,0,1.0,0.0,1.0,0.0
97,1,3,8,0,2,1991.0,4.4082191780821915,0,0.0,1.0,1.0,0.0
98,1,1,24,0,2,1994.0,5.252054794520548,0,0.0,1.0,1.0,0.0
99,0,1,65,0,2,1994.0,3.2164383561643834,0,0.0,1.0,1.0,0.0
100,1,1,8,0,2,1992.0,5.03013698630137,0,0.0,1.0,1.0,0.0
